Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	Sample_0	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18	Sample_19	Sample_20	Sample_21	Sample_22	Sample_23	Sample_24	Sample_25	Sample_26	Sample_27	Sample_28	Sample_29	Sample_30	Sample_31	Sample_32	Sample_33	Sample_34	Sample_35	Sample_36	Sample_37	Sample_38	Sample_39	Sample_40	Sample_41
Q658K8	Q658K8	Q658K8	Q658K8		2144.02	1639.45	2665.39	1890.39	1995.11	2670.13	3058.24	2953.86	2200.94	2820.28	2875.03	2576.25	2818.44	2347.92	2650.98	2765.14	1891.59	3013.39	2882.16	3003.18	2310.69	2333.98	3913.96	1769.84	2872.87	2205.88	2158.35	3195.09	2583.19	2865.71	2843.79	3626.11	2579.59	1760.35	2530.46	2449.63	2835.56	2208.59	2295.04	2485.69	2863.14	3205.33
Q658K8;P31944;Q9HAP2	Q658K8;P31944;Q9HAP2	Q658K8;P31944;Q9HAP2	Q658K8;P31944;Q9HAP2		4880.91	4557.5	5137.64	4619.24	4294.56	5849.16	5109.47	5396.48	4382.97	5397.28	4538.67	4913.96	5072.06	4211.09	3730.3	5326.98	4568.45	4048.5	6180.05	5635.67	5462.89	4305.74	4625.69	5342.29	5317.05	4525.44	3913.98	4394.71	4312.37	5602.16	4726.0	5344.61	5288.6	4819.88	4334.87	6444.99	4694.64	3744.57	3851.15	5174.11	5703.75	3302.3
P26374;A0A087WUV0	P26374;A0A087WUV0	P26374;A0A087WUV0	P26374;A0A087WUV0		2171.82	3340.26	2785.0	2732.21		3945.72				4807.97	2348.53	2227.55	4519.27	4805.38		4487.73		2896.94	2195.89	1649.09	2260.67	1892.32	1513.61	3891.56	3530.37	2370.2		2220.4	1562.44	3108.04	2375.19	1876.49	2137.69	2852.86		2391.74	2443.58	2704.6	4624.11	2509.97	3988.85	3648.37
Q05823;Q9GZN1	Q05823;Q9GZN1	Q05823;Q9GZN1	Q05823;Q9GZN1		27155.4	30260.6	27673.7	22232.2	26721.1	27125.6	22638.6	28259.5	26431.5	28988.3	27992.1	27202.7	29381.3	34036.8	30260.1	29695.3	29469.3	31349.6	27877.3	32661.8	31164.9	25195.3	26923.7	25803.9	25895.3	24653.7	26306.6	26604.5	27053.7	30089.6	29808.7	26137.5	30504.3	28471.8	26684.1	27470.6	24386.4	25595.1	26777.7	24383.1	24469.4	28669.2
P23769	P23769	P23769	P23769		2286.9	2286.66	1919.12	2712.92	1822.5	1444.99	2441.49	3691.33	2865.77	1953.66	1859.98		1584.54	1490.21	1340.47	902.337	1604.81	802.472	1229.75	903.215	1039.55	1081.36	844.117			256.775	1374.11	881.654		341.809	384.257	780.915	1157.26	641.716		995.984	916.551	821.302		728.093	600.558	630.649
P01579;Q14442	P01579;Q14442	P01579;Q14442	P01579;Q14442		98039.7	94342.9	93635.7	82963.7	88596.7	90536.3	91336.4	95652.6	85376.1	86047.8	89651.7	93256.6	95958.8	102128.0	92649.5	88026.0	88336.3	88155.7	88787.2	90730.4	95621.2	99919.0	94220.9	97289.1	91384.1	105432.0	89532.1	95537.0	94597.6	95723.9	97606.7	96943.3	93296.6	90482.9	88744.4	93017.1	96477.2	101172.0	101977.0	83148.7	92025.2	90784.1
O75830;O15259	O75830;O15259	O75830;O15259	O75830;O15259		3470.92	3449.35	4149.28	4221.16	4482.45	3357.63	3131.15	3433.35	3577.12	4136.88	3583.29	3514.35	3953.97	3237.81	4555.51	4175.17	4158.01	4168.07	3549.98	4137.24	4987.37	2819.98	4493.67	4610.08	4961.88	4676.99	3985.42	3876.76	4050.88	3610.14	4515.68	4187.83	4146.8	4968.96	4112.33	4228.0	5358.96	5209.01	4805.38	6102.05	3764.6	3924.92
Q3LI68	Q3LI68	Q3LI68	Q3LI68							10799.3		10431.8	11061.2		8880.98							6563.84		8914.02		7246.6	7286.09	6619.61		7188.18	6537.69	7235.31	8858.1	10235.9		8763.11	12952.1	11185.0	6740.9		8865.34	9299.1		9066.36	8883.37	9371.58
Q9UPN4	Q9UPN4	Q9UPN4	Q9UPN4		4519.72	5181.16	4440.73	5726.5	5506.73	4364.33	3626.81	2640.05	4642.12	3606.98	4667.82	5051.39	4529.7	5204.98	2433.74	5064.5	5134.75		4974.1	4254.09	5696.64	5048.21	5732.79	6820.49	6275.01	4885.61	6420.76	5735.98	5336.39	5285.62	4825.92	5830.24	6827.52	4328.06	5158.1	5019.45	6286.55	6529.72	6786.98	5913.3	5308.1	4334.46
O75173	O75173	O75173	O75173		87087.4	89694.9	94033.0	80383.4	80939.8	81927.3	79942.5	79912.2	83980.7	84208.7	84449.6	88115.8	83241.8	88502.6	81994.9	86980.4	88323.4	84407.3	91153.6	89381.2	89853.5	79950.1	80131.6	85783.0	85692.9	85778.6	81883.9	85670.6	85683.4	91050.9	87292.6	88550.4	85025.1	81461.9	80812.3	84452.0	90428.2	93563.3	92305.5	81844.3	78973.9	83721.5
